"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 15 09:15:19 GMT 2022","Thu Dec 15 09:27:31 GMT 2022","731707","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"failed","Thu Dec 15 10:16:24 GMT 2022","Thu Dec 15 10:28:37 GMT 2022","732264","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"failed","Thu Dec 15 11:17:32 GMT 2022","Thu Dec 15 11:29:45 GMT 2022","733333","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"failed","Thu Dec 15 10:28:37 GMT 2022","Thu Dec 15 10:40:51 GMT 2022","734068","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"failed","Thu Dec 15 10:04:11 GMT 2022","Thu Dec 15 10:16:24 GMT 2022","733278","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"failed","Thu Dec 15 09:27:31 GMT 2022","Thu Dec 15 09:39:45 GMT 2022","733858","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Thu Dec 15 11:05:18 GMT 2022","Thu Dec 15 11:17:32 GMT 2022","733779","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"failed","Thu Dec 15 11:29:45 GMT 2022","Thu Dec 15 11:41:58 GMT 2022","732456","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
