"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Dec 13 16:20:08 GMT 2022","Tue Dec 13 16:20:08 GMT 2022","2","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","setUpClass","setUpClass",""
"skipped","Tue Dec 13 16:20:09 GMT 2022","Tue Dec 13 16:20:09 GMT 2022","1","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Tue Dec 13 16:20:09 GMT 2022","Tue Dec 13 16:20:09 GMT 2022","1","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","tearDownClass","tearDownClass",""
