"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Dec 02 11:35:15 GMT 2022","Fri Dec 02 11:35:15 GMT 2022","2","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Fri Dec 02 11:35:15 GMT 2022","Fri Dec 02 11:35:15 GMT 2022","1","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","tearDownClass","tearDownClass",""
"broken","Fri Dec 02 11:35:15 GMT 2022","Fri Dec 02 11:35:15 GMT 2022","3","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","setUpClass","setUpClass",""
