"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 15 12:15:55 GMT 2022","Thu Dec 15 12:15:56 GMT 2022","1401","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Thu Dec 15 12:15:22 GMT 2022","Thu Dec 15 12:15:34 GMT 2022","12051","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Thu Dec 15 12:15:51 GMT 2022","Thu Dec 15 12:15:53 GMT 2022","1442","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Thu Dec 15 12:15:53 GMT 2022","Thu Dec 15 12:15:55 GMT 2022","1796","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Thu Dec 15 12:03:11 GMT 2022","Thu Dec 15 12:15:22 GMT 2022","730557","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Thu Dec 15 12:15:46 GMT 2022","Thu Dec 15 12:15:47 GMT 2022","1645","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Thu Dec 15 12:15:42 GMT 2022","Thu Dec 15 12:15:44 GMT 2022","2005","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Thu Dec 15 12:15:44 GMT 2022","Thu Dec 15 12:15:46 GMT 2022","1598","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
