"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Dec 16 13:12:54 GMT 2022","Fri Dec 16 13:12:56 GMT 2022","2341","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Fri Dec 16 13:12:59 GMT 2022","Fri Dec 16 13:13:00 GMT 2022","1872","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Fri Dec 16 13:00:23 GMT 2022","Fri Dec 16 13:12:31 GMT 2022","727924","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Fri Dec 16 13:13:09 GMT 2022","Fri Dec 16 13:13:11 GMT 2022","1880","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Fri Dec 16 13:13:05 GMT 2022","Fri Dec 16 13:13:07 GMT 2022","2235","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Fri Dec 16 13:12:31 GMT 2022","Fri Dec 16 13:12:44 GMT 2022","12545","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Fri Dec 16 13:13:07 GMT 2022","Fri Dec 16 13:13:09 GMT 2022","1813","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
"broken","Fri Dec 16 13:12:56 GMT 2022","Fri Dec 16 13:12:59 GMT 2022","2431","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
