"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 15 09:08:17 GMT 2022","Thu Dec 15 09:08:17 GMT 2022","0","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","tearDownClass","tearDownClass",""
"broken","Thu Dec 15 09:08:17 GMT 2022","Thu Dec 15 09:08:17 GMT 2022","3","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","setUpClass","setUpClass",""
"skipped","Thu Dec 15 09:08:17 GMT 2022","Thu Dec 15 09:08:17 GMT 2022","1","Test_Suite_Emulator_Pixel","Tests_on_Emulator_Pixel","com.appium.runners.TestNGRunner_Pixel","com.appium.runners.TestNGRunner_Pixel","scenario","Runs Cucumber Scenarios",""
